Building Name	Area Name	IP Block	local IP	Remote IP first	Remote IP last	Router No
Arshi	Moinul Road	10.20.0.0/24	10.20.0.1	10.20.0.2	10.20.0.254	2
Porshi	Moinul Road	10.20.1.0/24	10.20.1.1	10.20.1.2	10.20.1.254	2
Agami	Moinul Road	10.20.2.0/24	10.20.2.1	10.20.2.2	10.20.2.254	2
Bihongo	Moinul Road	10.20.3.0/24	10.20.3.1	10.20.3.2	10.20.3.254	2
Ghagori	Moinul Road	10.20.4.0/24	10.20.4.1	10.20.4.2	10.20.4.254	2
Moinul Road Banglow	Moinul Road	10.20.5.0/24	10.20.5.1	10.20.5.2	10.20.5.254	2
Shadinota Soroni	Moinul Road	10.20.6.0/24	10.20.6.1	10.20.6.2	10.20.6.254	2
Moinul-045	Moinul Road	10.20.7.0/24	10.20.7.1	10.20.7.2	10.20.7.254	2
Moinul-046	Moinul Road	10.20.8.0/24	10.20.8.1	10.20.8.2	10.20.8.254	2
Moinul-047	Moinul Road	10.20.9.0/24	10.20.9.1	10.20.9.2	10.20.9.254	2
Moinul-048	Moinul Road	10.20.10.0/24	10.20.10.1	10.20.10.2	10.20.10.254	2
Moinul-051	Moinul Road	10.20.11.0/24	10.20.11.1	10.20.11.2	10.20.11.254	2
Moinul-052	Moinul Road	10.20.12.0/24	10.20.12.1	10.20.12.2	10.20.12.254	2
Moinul-053	Moinul Road	10.20.13.0/24	10.20.13.1	10.20.13.2	10.20.13.254	2
Moinul-054	Moinul Road	10.20.14.0/24	10.20.14.1	10.20.14.2	10.20.14.254	2
Moinul-055	Moinul Road	10.20.15.0/24	10.20.15.1	10.20.15.2	10.20.15.254	2
Moinul-056	Moinul Road	10.20.16.0/24	10.20.16.1	10.20.16.2	10.20.16.254	2
Moinul-058	Moinul Road	10.20.17.0/24	10.20.17.1	10.20.17.2	10.20.17.254	2
Moinul-059	Moinul Road	10.20.18.0/24	10.20.18.1	10.20.18.2	10.20.18.254	2
Moinul-060	Moinul Road	10.20.19.0/24	10.20.19.1	10.20.19.2	10.20.19.254	2
Moinul-061	Moinul Road	10.20.20.0/24	10.20.20.1	10.20.20.2	10.20.20.254	2
Moinul-062	Moinul Road	10.20.21.0/24	10.20.21.1	10.20.21.2	10.20.21.254	2
Moinul-066	Moinul Road	10.20.22.0/24	10.20.22.1	10.20.22.2	10.20.22.254	2
Moinul-067	Moinul Road	10.20.23.0/24	10.20.23.1	10.20.23.2	10.20.23.254	2
Moinul-068	Moinul Road	10.20.24.0/24	10.20.24.1	10.20.24.2	10.20.24.254	2
Moinul-069	Moinul Road	10.20.25.0/24	10.20.25.1	10.20.25.2	10.20.25.254	2
Yousuf-116	Moinul Road	10.25.0.0/24	10.25.0.1	10.25.0.2	10.25.0.254	2
Yousuf-255	Moinul Road	10.25.1.0/24	10.25.1.1	10.25.2.2	10.25.2.254	2
Yousuf-257	Moinul Road	10.25.2.0/24	10.25.2.1	10.25.2.2	10.25.2.254	2
Yousuf-258	Moinul Road	10.25.3.0/24	10.25.3.1	10.25.3.2	10.25.3.254	2
Yousuf-259	Moinul Road	10.25.4.0/24	10.25.4.1	10.25.4.2	10.25.4.254	2
Yousuf-260	Moinul Road	10.25.5.0/24	10.25.5.1	10.25.5.2	10.25.5.254	2
Yousuf-261	Moinul Road	10.25.6.0/24	10.25.6.1	10.25.6.2	10.25.6.254	2
Yousuf-262	Moinul Road	10.25.7.0/24	10.25.7.1	10.25.7.2	10.25.7.254	2
Yousuf-263	Moinul Road	10.25.8.0/24	10.25.8.1	10.25.8.2	10.25.8.254	2
Yousuf-266	Moinul Road	10.25.9.0/24	10.25.9.1	10.25.9.2	10.25.9.254	2
Yousuf-267	Moinul Road	10.25.10.0/24	10.25.10.1	10.25.10.2	10.25.10.2524	2
Yousuf-269	Moinul Road	10.25.11.0/24	10.25.11.1	10.25.11.2	10.25.11.2524	2
Yousuf-271	Moinul Road	10.25.12.0/24	10.25.12.1	10.25.12.2	10.25.12.2524	2
Yousuf-272	Moinul Road	10.25.13.0/24	10.25.13.1	10.25.13.2	10.25.13.2524	2
Yousuf-274	Moinul Road	10.25.14.0/24	10.25.14.1	10.25.14.2	10.25.14.2524	2
Yousuf-277	Moinul Road	10.25.15.0/24	10.25.15.1	10.25.15.2	10.25.15.2524	2
Yousuf-278	Moinul Road	10.25.16.0/24	10.25.16.1	10.25.16.2	10.25.16.2524	2
Yousuf-518	Moinul Road	10.25.17.0/24	10.25.17.1	10.25.17.2	10.25.17.2524	2
Yousuf-520	Moinul Road	10.25.18.0/24	10.25.18.1	10.25.18.2	10.25.18.2524	2
Yousuf-521	Moinul Road	10.25.19.0/24	10.25.19.1	10.25.19.2	10.25.19.2524	2
Yousuf-522	Moinul Road	10.25.20.0/24	10.25.20.1	10.25.20.2	10.25.20.2524	2
Yousuf-523	Moinul Road	10.25.21.0/24	10.25.21.1	10.25.21.2	10.25.21.2524	2
Yousuf-524	Moinul Road	10.25.22.0/24	10.25.22.1	10.25.22.2	10.25.22.2524	2
Yousuf-525	Moinul Road	10.25.23.0/24	10.25.23.1	10.25.23.2	10.25.23.2524	2
Yousuf-526	Moinul Road	10.25.24.0/24	10.25.24.1	10.25.24.2	10.25.24.2524	2
Yousuf-527	Moinul Road	10.25.25.0/24	10.25.25.1	10.25.25.2	10.25.25.2524	2
Yousuf-528	Moinul Road	10.25.26.0/24	10.25.26.1	10.25.26.2	10.25.26.2524	2
Yousuf-529	Moinul Road	10.25.27.0/24	10.25.27.1	10.25.27.2	10.25.27.2524	2
Yousuf-557	Moinul Road	10.25.28.0/24	10.25.28.1	10.25.28.2	10.25.28.2524	2
Yousuf-566	Moinul Road	10.25.29.0/24	10.25.29.1	10.25.29.2	10.25.29.2524	2
Yousuf-571	Moinul Road	10.25.30.0/24	10.25.30.1	10.25.30.2	10.25.30.2524	2
Yousuf-576	Moinul Road	10.25.31.0/24	10.25.31.1	10.25.31.2	10.25.31.2524	2
Yousuf-577	Moinul Road	10.25.32.0/24	10.25.32.1	10.25.32.2	10.25.32.2524	2
Yousuf-581	Moinul Road	10.25.33.0/24	10.25.33.1	10.25.33.2	10.25.33.2524	2
Udoyan	Aziz Palli	10.10.0.0/24	10.10.0.1	10.10.0.2	10.10.0.254	2
